UserId,Product2Id,ProductName
0052x000002Q1BbAAK,01t2x000003PncCAAS,"DNN Production License EVOQ, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000001E1nZAAS,"DNN Failover License EVOQ Content, ADD-ON, Platinum support"
0052x000003XjMPAA0,01t2x000003PtGoAAK,"AnswerHub Internal (Number of Users) - SaaS, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000003PncEAAS,"DNN Production License EVOQ, PLATINUM SUCCESS"
0052x000002Q1BbAAK,01t2x000001E1lsAAC,"DNN Production EVOQ, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003Px9FAAS,"Lyris (AEM) List Manager, STANDARD EDITION"
0052x0000057wOPAAY,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000003qiyMAAQ,01t2x0000026BaxAAE,"NorthPlains Xinet (On-Prem) MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000003X7B4AAK,01t2x000003Pt86AAC,"Aurea Platform Enterprise, ENTERPRISE EDITION, PLATINUM SUCCESS"
0052x000003X7B4AAK,01t2x000003Pt81AAC,"Aurea Platform Enterprise, ENTERPRISE EDITION"
0052x000003X7B4AAK,01t2x000003Pt83AAC,"Aurea Platform Enterprise, PLATINUM SUCCESS"
0052x000003qiyMAAQ,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000002V6t4AAC,01t2x000003Px9FAAS,"Lyris (AEM) List Manager, STANDARD EDITION"
0052x000002V6t4AAC,01t2x000003Px9HAAS,"Lyris (AEM) List Manager, PLATINUM SUCCESS"
0052x000003XjMjAAK,01t2x000000JoARAA0,Kayako OnPremise KC PROFESSIONAL PLATINUM
0052x000003Xj1qAAC,01t2x000001E1lsAAC,"DNN Production EVOQ, STANDARD EDITION, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000000JoARAA0,Kayako OnPremise KC PROFESSIONAL PLATINUM
0052x000002V6t4AAC,01t2x000003Px9IAAS,"Lyris (AEM) List Manager, STANDARD EDITION, STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000003Px9GAAS,"Lyris (AEM) List Manager, STANDARD SUCCESS"
0052x000005hUoUAAU,01t2x000002Cm2IAAS,"Pivotal Term User License, STANDARD EDITION"
0052x000005hUoUAAU,01t2x000002Cm2mAAC,"Pivotal Term User License, PLATINUM SUCCESS"
0052x0000049BoSAAU,01t2x000002Cg4VAAS,"Jive Cloud, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x0000026DFOAA2,"Jive Cloud, STANDARD EDITION"
0052x0000049BoSAAU,01t2x0000026DFTAA2,"Jive Cloud, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PsJ5AAK,"Mobilogy Software Full, PLATINUM SUCCESS"
0052x00000224r5AAA,01t2x000001v9thAAA,SLI LEARNING SEARCH STANDARD STANDARD
0052x000002QDFSAA4,01t2x000001v9thAAA,SLI LEARNING SEARCH STANDARD STANDARD
0052x000003X7B4AAK,01t2x000001E1mqAAC,"DNN Non-Production License EVOQ Basic, ADD-ON, Standard support"
0052x000003X7B4AAK,01t2x000001E1lsAAC,"DNN Production EVOQ, STANDARD EDITION, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000001E1mCAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION, GOLD SUCCESS"
0052x000003XjMPAA0,01t2x000001E1nFAAS,"DNN Non-Production License EVOQ Content, ADD-ON, Gold support"
0052x000003Xp4eAAC,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000003XIKyAAO,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000002QDFSAA4,01t2x000001E1m2AAC,"DNN Production License EVOQ, STANDARD EDITION, PLATINUM SUCCESS"
0052x00000586HZAAY,01t2x000002I0oZAAS,STL-TE-Ana-SIL
0052x00000586HZAAY,01t2x000002HurnAAC,"STL Analytics MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x00000586HZAAY,01t2x000002HursAAC,"STL Analytics, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000000JoARAA0,Kayako OnPremise KC PROFESSIONAL PLATINUM
0052x0000049sbGAAQ,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x0000049sbGAAQ,01t2x000001E1mHAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x000001E1nKAAS,"DNN Non-Production License EVOQ Content, ADD-ON, Platinum support"
0052x0000049sbGAAQ,01t2x000003PncBAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION"
0052x0000049sbGAAQ,01t2x000003PncEAAS,"DNN Production License EVOQ, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x000003PncZAAS,"DNN Non-Production License EVOQ Content, ADD-ON"
0052x0000049sbGAAQ,01t2x000003PnccAAC,"DNN Non-Production License EVOQ, PLATINUM SUCCESS"
0052x000002V6t4AAC,01t2x000003Px9JAAS,"Lyris (AEM) List Manager, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x000002CpPmAAK,"Computron Term Software  License MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049sbGAAQ,01t2x000002CpPpAAK,"Computron Term Software License, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000001E1lsAAC,"DNN Production EVOQ, STANDARD EDITION, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000001E1mqAAC,"DNN Non-Production License EVOQ Basic, ADD-ON, Standard support"
0052x000003qiyMAAQ,01t2x000003Pnc9AAC,"DNN Production License EVOQ, STANDARD EDITION"
0052x000003qiyMAAQ,01t2x000003PncCAAS,"DNN Production License EVOQ, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000003PncaAAC,"DNN Non-Production License EVOQ, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000003PncXAAS,"DNN Non-Production License EVOQ Basic, ADD-ON"
0052x0000049BoSAAU,01t2x000001E1n5AAC,"DNN Non-Production License EVOQ Content, ADD-ON, Standard support"
0052x0000049BoSAAU,01t2x000001E1m7AAC,"DNN Production License EVOQ, PROFESSIONAL EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000003PncZAAS,"DNN Non-Production License EVOQ Content, ADD-ON"
0052x0000049BoSAAU,01t2x000003PncaAAC,"DNN Non-Production License EVOQ, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000003PncBAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION"
0052x0000049BoSAAU,01t2x000003PncCAAS,"DNN Production License EVOQ, STANDARD SUCCESS"
0052x000002PZH9AAO,01t2x000001DpbnAAC,FogBugz:Kiln:Standard:Standard
0052x000003XjMPAA0,01t2x000001E1m7AAC,"DNN Production License EVOQ, PROFESSIONAL EDITION, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000003PncBAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION"
0052x000003XjMPAA0,01t2x000003PncCAAS,"DNN Production License EVOQ, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000003Pn4fAAC,"ACRM CRM On-Premise MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002CJ5jAAG,"ACRM CRM On-Premise, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x0000026EqxAAE,"ACRM CRM On-Premise, STANDARD EDITION"
0052x0000048webAAA,01t2x000002HxYpAAK,MyAlerts: Main Subscription Platinum
0052x0000048webAAA,01t2x000002HxYzAAK,MyAlerts: Overage
0052x0000049BoSAAU,01t2x000003PnRQAA0,"GoMembers OnDemand, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049BoSAAU,01t2x000003PnR9AAK,"GoMembers OnDemand, STANDARD EDITION"
0052x0000049BoSAAU,01t2x000003PnR2AAK,"GoMembers OnDemand, PLATINUM SUCCESS"
0052x0000048webAAA,01t2x000002HxZ4AAK,MyAlerts: Rev Share
0052x000002Q1BbAAK,01t2x000003PsJ2AAK,"Mobilogy Software Full, PROFESSIONAL EDITION"
0052x0000049BoSAAU,01t2x0000026Er3AAE,"ACRM CRM On-Premise, PLATINUM SUCCESS"
0052x000003qiyMAAQ,01t2x000001E1lxAAC,"DNN Production EVOQ, STANDARD EDITION, GOLD SUCCESS"
0052x000003qiyMAAQ,01t2x000001E1mIAAS,"DNN Non-Production License EVOQ Basic, ADD-ON, Gold support"
0052x000003qiyMAAQ,01t2x000003PncbAAC,"DNN Non-Production License EVOQ, GOLD SUCCESS"
0052x000003qiyMAAQ,01t2x000003PncDAAS,"DNN Production License EVOQ, GOLD SUCCESS"
0052x000002Q1BbAAK,01t2x000003Px9KAAS,"Lyris (AEM) List Manager MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x0000026DFJAA2,"NewNet Term Software License MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x000003qiyMAAQ,01t2x000002CpD3AAK,"NewNet Term Software License, PLATINUM SUCCESS"
0052x0000057OQSAA2,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x00000574kYAAQ,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000002Q1BbAAK,01t2x000003Px9IAAS,"Lyris (AEM) List Manager, STANDARD EDITION, STANDARD SUCCESS"
0052x0000058tDvAAI,01t2x000002HyYsAAK,RightSpend
